Date,Overall_AQI_Value,Main Pollutant,SiteName (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
5/8/2019,38,Ozone,Portland,41-005-0004,AQS,2,38,0,.,34,15
5/9/2019,45,Ozone,Portland,41-005-0004,AQS,3,45,0,24,28,25
5/10/2019,84,Ozone,Portland,41-005-0004,AQS,7,84,1,.,38,40
5/11/2019,71,Ozone,Portland,53-011-0011,AQS,10,71,0,.,40,31
5/12/2019,37,Ozone,Portland,53-011-0011,AQS,2,37,0,8,24,9
05/13/2019,36,Ozone,Portland,41-009-0004,AQS,2,36,0,.,29,10
05/14/2019,25,Ozone,Portland,41-009-0004,AQS,2,25,.,.,22,11
05/15/2019,25,Ozone,Portland,53-011-0011,AQS,2,25,0,9,24,15
05/16/2019,31,Ozone,Portland,41-005-0004,AQS,3,31,0,.,25,16
05/17/2019,37,Ozone,Portland,41-005-0004,AQS,2,37,0,.,20,16
05/18/2019,35,Ozone,Portland,53-011-0011,AQS,2,35,0,6,19,12
05/19/2019,41,Ozone,Portland,41-005-0004,AQS,2,41,0,.,15,9
05/20/2019,37,Ozone,Portland,41-005-0004,AQS,2,37,0,.,22,16
05/21/2019,36,Ozone,Portland,41-005-0004,AQS,2,36,0,7,19,16
05/22/2019,36,Ozone,Portland,41-005-0004,AQS,3,36,0,.,25,13
05/23/2019,34,Ozone,Portland,41-005-0004,AQS,3,34,0,.,30,8
05/24/2019,36,Ozone,Portland,41-005-0004,AQS,3,36,0,10,26,8
05/25/2019,29,Ozone,Portland,41-005-0004,AQS,3,29,0,.,21,8
05/26/2019,33,Ozone,Portland,41-005-0004,AQS,3,33,0,.,21,12
05/27/2019,29,PM2.5,Portland,53-011-0024,AQS,3,27,0,9,29,6
